Variable Group,Variable Name,Description,Values
Evaluations: Annotation Exercises,SemesterYearEvals_AnnotResourceInstr ,Annotation exercises helped to understand the instructions in the Resource Guide.,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Annotation Exercises,SemesterYearEvals_AnnotResourceRpts ,Annotation exercises helped to apply the instructions in the resource guide to the student’s reports,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Group Article Exercise,Note: Group article exercise,These responses provide feedback to how reading and discussing articles in groups helped students to better interpret articles in the listed ways.,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_Pieces ,Group reading helped to break down articles into parts so I could understand them better,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_ExpDesign ,Group reading helped to understand the experimental design,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_ID_ImpInfo ,Group reading helped to identify important information,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_Results ,Group reading helped to understand the general results,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_Interpretation ,Group reading helped to see other ways to interpret data,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_AltConclusions ,Group reading helped to see alternative conclusions,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_OutsideResources,Group reading helped to see when and how outside resources should be used and cited,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations: Group Article Exercise,SemesterYearEvals_Group_Learning ,Group reading helped the student to learn more from the articles than they would have on their own,"Factor:
""Strongly disagree""
""Disagree""
""Neutral""
""Agree""
""Strongly agree"""
Evaluations,SemesterYearEvals_Rpt_RevChange ,"How much students changed their lab reports from the submission to revision version, taking into account the feedback received from SAWHET and their GTAs.","Factor:
""Made no changes at all""
“Small changes (correction of grammar, typos)”
“Moderate changes (rewrote some sentences; clarified meaning by revising wording)”
“Larger changes (revised many sentences; rewrote or reorganized sections)”
“Extensive changes (complete rewrite of entire report)”"
Evaluations: Report Grading,NOTE: Report Grading,"These variables allow students to give feedback on how efffective they found the grading guidelines to be. These are found only in Fall 2017 and Spring 2018, while the grading guidelines were still under development.",
Evaluations: Report Grading,SemesterYearEvals_Grading_ClearFdbk ,The grading guidelines made it clear where to improve the student’s work or apply more effort,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Report Grading,SemesterYearEvals_Grading_Understood ,The grading guidelines were easy to understand,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Report Grading,SemesterYearEvals_Grading_Detailed ,The grading guidelines were sufficiently detailed,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Report Grading,SemesterYearEvals_Grading_Fair ,The guidelines assigned points reasonably and fairly,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: Report Grading,SemesterYearEvals_Grading_Comment,"Free response answer to the question “What do you suggest we change, add, or remove to make our grading process more transparent, informative, or fair?”",Character
Evaluations: 101 Writing Workshops,NOTE: 101L Writing Workshops,Integer response to our technical writing training for BIO 101L. These were workshops in learning what is expected in lab reports and how to peer review drafts. Present in FA18 and FA19 Evaluations.,"Integer 1-10, where 1 is least useful and 10 is the most useful"
Evaluations: 101 Writing Workshops,SemesterYearEvals_101Writ_Interest ,The degree to which this technical writing training was interesting or engaging.,"Integer 1-10, where 1 is least useful and 10 is the most useful"
Evaluations: 101 Writing Workshops,SemesterYearEvals_101Writ_Improved ,Improved or stimulated thinking and learning on the topic.,"Integer 1-10, where 1 is least useful and 10 is the most useful"
Evaluations: 101 Writing Workshops,SemesterYearEvals_101Writ_Lecture (FA18 only) ,The degree to which the exercise connected to lecture topics,"Integer 1-10, where 1 is least useful and 10 is the most useful"
Evaluations: 101 Writing Workshops,SemesterYearEvals_101Writ_Lab ,The degree to which the exercise connected to other lab topics.,"Integer 1-10, where 1 is least useful and 10 is the most useful"
Evaluations: 101 Writing Workshops,SemesterYearEvals_101Writ_Comments ,Free response question with comments about the writing workshop as a whole.,Character
Evaluations: 101 Basic Experimental Design Workshop,NOTE: 101 Basic Experimental Design Workshop,"Responses to an exercise in basic experimental design, introducing students to standard steps for designing biological experiments, as well as to basic biostatistics. ",
Evaluations: 101 Basic Experimental Design Workshop,SemesterYearEvals_BasicExpDesign101_Understand ,The exercise was easy to understand,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: 101 Basic Experimental Design Workshop,SemesterYearEvals_BasicExpDesign101_Prepare,The exercise helped to prepare the student for later topics,"Factor:
""Strongly disagree""
""Somewhat disagree""
""Neither agree nor disagree""
""Somewhat agree""
""Strongly agree"""
Evaluations: 101 Basic Experimental Design Workshop,SemesterYearEvals_BasicExpDesign101_Comments ,Any other comments about the exercise or what might be done to improve it,Character
Quizzes,NOTE: Quizzes,"The last part of our dataframe contains information from quizzes. These quizzes are generally aimed at conceptually preparing the student for an upcoming lab assignment. Many quizzes are simple multiple-choice exercises, while some contain free response questions. All quizzes will contain a _Duration and a _score entry. The _Duration entry contains the time in seconds taken to complete the quiz from the initiation of the quiz. The _score entry contains the integer score for the quiz. These variables are the basis for our “AvgQuizDuration” and “AvgQuizScore” variables provided earlier on in the dataset. Any quiz _FRQ variables contain free response questions that are intended as writing samples for analysis. Not every quiz response will be in the biological report writing style as our lab reports, as some are meant to be more general comments or reflection on reading or labwork. However, as potentially valuable student writing samples, we elected to include all of these free responses in a supplementary file",
Quizzes,SemesterYear_Course_Q[1-12][Topic]_Duration,The time in seconds taken to complete the quiz from the initiation of the quiz.,Integer
Quizzes,SemesterYear_Course_Q[1-12][Topic]_score,"The score received on the quiz. Because students have multiple attempts, this can be interpreted more as a measure of assiduousness than knowledge",Numeric
Quizzes,SemesterYear_Course_Q[1-12][Topic]_FRQ,Responses to various free response questions posed on quizzes,Numeric
